PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31160269","The gut microbiome and epilepsy","Dahlin M, Prast-Nielsen S.","EBioMedicine. 2019 Jun;44:741-746. doi: 10.1016/j.ebiom.2019.05.024. Epub 2019 May 31.","Dahlin M","EBioMedicine","2019","2019/06/05","PMC6604367","","10.1016/j.ebiom.2019.05.024"
"31687392","Preliminary Study on the Effect of Bacillus amyloliquefaciens TL on Cecal Bacterial Community Structure of Broiler Chickens","Hong Y, Cheng Y, Li Y, Li X, Zhou Z, Shi D, Li Z, Xiao Y.","Biomed Res Int. 2019 Oct 3;2019:5431354. doi: 10.1155/2019/5431354. eCollection 2019.","Hong Y","Biomed Res Int","2019","2019/11/06","PMC6794981","","10.1155/2019/5431354"
"31498816","High-throughput sequencing analysis of microbial community diversity in response to indica and japonica bar-transgenic rice paddy soils","He M, Zhang J, Shen L, Xu L, Luo W, Li D, Zhai N, Zhao J, Long Y, Pei X, Yuan Q.","PLoS One. 2019 Sep 9;14(9):e0222191. doi: 10.1371/journal.pone.0222191. eCollection 2019.","He M","PLoS One","2019","2019/09/10","PMC6733487","","10.1371/journal.pone.0222191"
"29653264","Helminth infection in mice improves insulin sensitivity via modulation of gut microbiota and fatty acid metabolism","Pace F, Carvalho BM, Zanotto TM, Santos A, Guadagnini D, Silva KLC, Mendes MCS, Rocha GZ, Alegretti SM, Santos GA, Catharino RR, Paroni R, Folli F, Saad MJA.","Pharmacol Res. 2018 Jun;132:33-46. doi: 10.1016/j.phrs.2018.04.008. Epub 2018 Apr 10.","Pace F","Pharmacol Res","2018","2018/04/14","","","10.1016/j.phrs.2018.04.008"
"31139364","Patterns in the longitudinal oropharyngeal microbiome evolution related to ventilator-associated pneumonia","Sommerstein R, Merz TM, Berger S, Kraemer JG, Marschall J, Hilty M.","Antimicrob Resist Infect Control. 2019 May 22;8:81. doi: 10.1186/s13756-019-0530-6. eCollection 2019.","Sommerstein R","Antimicrob Resist Infect Control","2019","2019/05/30","PMC6530040","","10.1186/s13756-019-0530-6"
"30214024","Fucosylated oligosaccharides in mother's milk alleviate the effects of caesarean birth on infant gut microbiota","Korpela K, Salonen A, Hickman B, Kunz C, Sprenger N, Kukkonen K, Savilahti E, Kuitunen M, de Vos WM.","Sci Rep. 2018 Sep 13;8(1):13757. doi: 10.1038/s41598-018-32037-6.","Korpela K","Sci Rep","2018","2018/09/15","PMC6137148","","10.1038/s41598-018-32037-6"
"30148833","The microbiota of hematophagous ectoparasites collected from migratory birds","Cerutti F, Modesto P, Rizzo F, Cravero A, Jurman I, Costa S, Giammarino M, Mandola ML, Goria M, Radovic S, Cattonaro F, Acutis PL, Peletto S.","PLoS One. 2018 Aug 27;13(8):e0202270. doi: 10.1371/journal.pone.0202270. eCollection 2018.","Cerutti F","PLoS One","2018","2018/08/28","PMC6110481","","10.1371/journal.pone.0202270"
"29497869","Differences in gut microbiota composition in finishing Landrace pigs with low and high feed conversion ratios","Tan Z, Wang Y, Yang T, Ao H, Chen S, Xing K, Zhang F, Zhao X, Liu J, Wang C.","Antonie Van Leeuwenhoek. 2018 Sep;111(9):1673-1685. doi: 10.1007/s10482-018-1057-1. Epub 2018 Mar 1.","Tan Z","Antonie Van Leeuwenhoek","2018","2018/03/03","PMC6097733","","10.1007/s10482-018-1057-1"
"29458413","Gut microbiota trajectory in early life may predict development of celiac disease","Olivares M, Walker AW, Capilla A, Benítez-Páez A, Palau F, Parkhill J, Castillejo G, Sanz Y.","Microbiome. 2018 Feb 20;6(1):36. doi: 10.1186/s40168-018-0415-6.","Olivares M","Microbiome","2018","2018/02/21","PMC5819212","","10.1186/s40168-018-0415-6"
"31477004","The characteristics of gut microbiota and commensal Enterobacteriaceae isolates in tree shrew (Tupaia belangeri)","Gu W, Tong P, Liu C, Wang W, Lu C, Han Y, Sun X, Kuang X, Li N, Dai J.","BMC Microbiol. 2019 Sep 2;19(1):203. doi: 10.1186/s12866-019-1581-9.","Gu W","BMC Microbiol","2019","2019/09/04","PMC6721287","","10.1186/s12866-019-1581-9"
"31685759","Vertical Distribution and Diversity of Phototrophic Bacteria within a Hot Spring Microbial Mat (Nakabusa Hot Springs, Japan)","Martinez JN, Nishihara A, Lichtenberg M, Trampe E, Kawai S, Tank M, Kühl M, Hanada S, Thiel V.","Microbes Environ. 2019 Dec 27;34(4):374-387. doi: 10.1264/jsme2.ME19047. Epub 2019 Nov 2.","Martinez JN","Microbes Environ","2019","2019/11/06","PMC6934398","","10.1264/jsme2.ME19047"
"29323208","Composition of salivary microbiota in elderly subjects","Ogawa T, Hirose Y, Honda-Ogawa M, Sugimoto M, Sasaki S, Kibi M, Kawabata S, Ikebe K, Maeda Y.","Sci Rep. 2018 Jan 11;8(1):414. doi: 10.1038/s41598-017-18677-0.","Ogawa T","Sci Rep","2018","2018/01/12","PMC5765146","","10.1038/s41598-017-18677-0"
"29563518","Dietary butyrate glycerides modulate intestinal microbiota composition and serum metabolites in broilers","Yang X, Yin F, Yang Y, Lepp D, Yu H, Ruan Z, Yang C, Yin Y, Hou Y, Leeson S, Gong J.","Sci Rep. 2018 Mar 21;8(1):4940. doi: 10.1038/s41598-018-22565-6.","Yang X","Sci Rep","2018","2018/03/23","PMC5862971","","10.1038/s41598-018-22565-6"
"31519210","Specific gut microbiome members are associated with distinct immune markers in pediatric allogeneic hematopoietic stem cell transplantation","Ingham AC, Kielsen K, Cilieborg MS, Lund O, Holmes S, Aarestrup FM, Müller KG, Pamp SJ.","Microbiome. 2019 Sep 13;7(1):131. doi: 10.1186/s40168-019-0745-z.","Ingham AC","Microbiome","2019","2019/09/15","PMC6744702","","10.1186/s40168-019-0745-z"
"30247561","Influence of Nonpolio Enteroviruses and the Bacterial Gut Microbiota on Oral Poliovirus Vaccine Response: A Study from South India","Praharaj I, Parker EPK, Giri S, Allen DJ, Silas S, Revathi R, Kaliappan SP, John J, Prasad JH, Kampmann B, Iturriza-Gómara M, Grassly NC, Kang G.","J Infect Dis. 2019 Apr 8;219(8):1178-1186. doi: 10.1093/infdis/jiy568.","Praharaj I","J Infect Dis","2019","2018/09/25","PMC6601701","","10.1093/infdis/jiy568"
"30934014","Bacterial translocation in acute lymphocytic leukemia","Song Y, Gyarmati P.","PLoS One. 2019 Apr 1;14(4):e0214526. doi: 10.1371/journal.pone.0214526. eCollection 2019.","Song Y","PLoS One","2019","2019/04/02","PMC6443231","","10.1371/journal.pone.0214526"
"31308634","The protective effect and mechanism of the FXR agonist obeticholic acid via targeting gut microbiota in non-alcoholic fatty liver disease","Zhang DY, Zhu L, Liu HN, Tseng YJ, Weng SQ, Liu TT, Dong L, Shen XZ.","Drug Des Devel Ther. 2019 Jul 5;13:2249-2270. doi: 10.2147/DDDT.S207277. eCollection 2019.","Zhang DY","Drug Des Devel Ther","2019","2019/07/17","PMC6617567","","10.2147/DDDT.S207277"
"30429514","Terminal restriction fragment length polymorphism is an ""old school"" reliable technique for swift microbial community screening in anaerobic digestion","De Vrieze J, Ijaz UZ, Saunders AM, Theuerl S.","Sci Rep. 2018 Nov 14;8(1):16818. doi: 10.1038/s41598-018-34921-7.","De Vrieze J","Sci Rep","2018","2018/11/16","PMC6235954","","10.1038/s41598-018-34921-7"
"29384870","Diversity analysis of subgingival microbial bacteria in peri-implantitis in Uygur population","Gao X, Zhou J, Sun X, Li X, Zhou Y.","Medicine (Baltimore). 2018 Feb;97(5):e9774. doi: 10.1097/MD.0000000000009774.","Gao X","Medicine (Baltimore)","2018","2018/02/01","PMC5805442","","10.1097/MD.0000000000009774"
"30410932","Comparative Analysis of the Gut Microbial Composition and Meat Flavor of Two Chicken Breeds in Different Rearing Patterns","Sun J, Wang Y, Li N, Zhong H, Xu H, Zhu Q, Liu Y.","Biomed Res Int. 2018 Oct 16;2018:4343196. doi: 10.1155/2018/4343196. eCollection 2018.","Sun J","Biomed Res Int","2018","2018/11/10","PMC6206517","","10.1155/2018/4343196"
"29914555","The queen's gut refines with age: longevity phenotypes in a social insect model","Anderson KE, Ricigliano VA, Mott BM, Copeland DC, Floyd AS, Maes P.","Microbiome. 2018 Jun 18;6(1):108. doi: 10.1186/s40168-018-0489-1.","Anderson KE","Microbiome","2018","2018/06/20","PMC6006926","","10.1186/s40168-018-0489-1"
"30794590","Metagenomic analyses of the gut microbiota associated with colorectal adenoma","Saito K, Koido S, Odamaki T, Kajihara M, Kato K, Horiuchi S, Adachi S, Arakawa H, Yoshida S, Akasu T, Ito Z, Uchiyama K, Saruta M, Xiao JZ, Sato N, Ohkusa T.","PLoS One. 2019 Feb 22;14(2):e0212406. doi: 10.1371/journal.pone.0212406. eCollection 2019.","Saito K","PLoS One","2019","2019/02/23","PMC6386391","","10.1371/journal.pone.0212406"
"30545401","A comparative study of the gut microbiota in immune-mediated inflammatory diseases-does a common dysbiosis exist?","Forbes JD, Chen CY, Knox NC, Marrie RA, El-Gabalawy H, de Kievit T, Alfa M, Bernstein CN, Van Domselaar G.","Microbiome. 2018 Dec 13;6(1):221. doi: 10.1186/s40168-018-0603-4.","Forbes JD","Microbiome","2018","2018/12/15","PMC6292067","","10.1186/s40168-018-0603-4"
"29602784","Stable Isotope Probing for Microbial Iron Reduction in Chocolate Pots Hot Spring, Yellowstone National Park","Fortney NW, He S, Kulkarni A, Friedrich MW, Holz C, Boyd ES, Roden EE.","Appl Environ Microbiol. 2018 May 17;84(11):e02894-17. doi: 10.1128/AEM.02894-17. Print 2018 Jun 1.","Fortney NW","Appl Environ Microbiol","2018","2018/04/01","PMC5960972","","10.1128/AEM.02894-17"
"29587465","MicroRNA-146a Deficiency Protects against Listeria monocytogenes Infection by Modulating the Gut Microbiota","Du CT, Gao W, Ma K, Yu SX, Li N, Yan SQ, Zhou FH, Liu ZZ, Chen W, Lei LC, Yang YJ, Han WY.","Int J Mol Sci. 2018 Mar 26;19(4):993. doi: 10.3390/ijms19040993.","Du CT","Int J Mol Sci","2018","2018/03/29","PMC5979314","","10.3390/ijms19040993"
"30867328","Spatial and Temporal Analysis of the Stomach and Small-Intestinal Microbiota in Fasted Healthy Humans","Seekatz AM, Schnizlein MK, Koenigsknecht MJ, Baker JR, Hasler WL, Bleske BE, Young VB, Sun D.","mSphere. 2019 Mar 13;4(2):e00126-19. doi: 10.1128/mSphere.00126-19.","Seekatz AM","mSphere","2019","2019/03/15","PMC6416366","","10.1128/mSphere.00126-19"
"30995320","Effects of Colombian oregano essential oil (Lippia origanoides Kunth) and Eimeria species on broiler production and cecal microbiota","Betancourt L, Hume M, Rodríguez F, Nisbet D, Sohail MU, Afanador-Tellez G.","Poult Sci. 2019 Oct 1;98(10):4777-4786. doi: 10.3382/ps/pez193.","Betancourt L","Poult Sci","2019","2019/04/18","","","10.3382/ps/pez193"
"30401457","FUT2 Variants Confer Susceptibility to Familial Otitis Media","Santos-Cortez RLP, Chiong CM, Frank DN, Ryan AF, Giese APJ, Bootpetch Roberts T, Daly KA, Steritz MJ, Szeremeta W, Pedro M, Pine H, Yarza TKL, Scholes MA, Llanes EGDV, Yousaf S, Friedman N, Tantoco MLC, Wine TM, Labra PJ, Benoit J, Ruiz AG, de la Cruz RAR, Greenlee C, Yousaf A, Cardwell J, Nonato RMA, Ray D, Ong KMC, So E, Robertson CE, Dinwiddie J, Lagrana-Villagracia SM; University of Washington Center for Mendelian Genomics (UWCMG), Gubbels SP, Shaikh RS, Cass SP, Einarsdottir E, Lee NR, Schwartz DA, Gloria-Cruz TLI, Bamshad MJ, Yang IV, Kere J, Abes GT, Prager JD, Riazuddin S, Chan AL, Yoon PJ, Nickerson DA, Cutiongco-de la Paz EM, Streubel SO, Reyes-Quintos MRT, Jenkins HA, Mattila P, Chan KH, Mohlke KL, Leal SM, Hafrén L, Chonmaitree T, Sale MM, Ahmed ZM.","Am J Hum Genet. 2018 Nov 1;103(5):679-690. doi: 10.1016/j.ajhg.2018.09.010. Epub 2018 Oct 25.","Santos-Cortez RLP","Am J Hum Genet","2018","2018/11/08","PMC6217759","","10.1016/j.ajhg.2018.09.010"
"30571690","Evaluation of the effects of different stocking densities on the sediment microbial community of juvenile hybrid grouper (♀Epinephelus fuscoguttatus × ♂ Epinephelus lanceolatus) in recirculating aquaculture systems","Chen X, Shao T, Long X.","PLoS One. 2018 Dec 20;13(12):e0208544. doi: 10.1371/journal.pone.0208544. eCollection 2018.","Chen X","PLoS One","2018","2018/12/21","PMC6301666","","10.1371/journal.pone.0208544"
"30877749","Effect of different challenge models to induce necrotic enteritis on the growth performance and intestinal microbiota of broiler chickens","Bortoluzzi C, Vieira BS, Hofacre C, Applegate TJ.","Poult Sci. 2019 Jul 1;98(7):2800-2812. doi: 10.3382/ps/pez084.","Bortoluzzi C","Poult Sci","2019","2019/03/17","","","10.3382/ps/pez084"
"30616668","Aerobic midgut microbiota of sand fly vectors of zoonotic visceral leishmaniasis from northern Iran, a step toward finding potential paratransgenic candidates","Karimian F, Vatandoost H, Rassi Y, Maleki-Ravasan N, Mohebali M, Shirazi MH, Koosha M, Choubdar N, Oshaghi MA.","Parasit Vectors. 2019 Jan 7;12(1):10. doi: 10.1186/s13071-018-3273-y.","Karimian F","Parasit Vectors","2019","2019/01/09","PMC6322272","","10.1186/s13071-018-3273-y"
"30498207","Altered gut microbiota after traumatic splenectomy is associated with endotoxemia","Zhu H, Liu Y, Li S, Jin Y, Zhao L, Zhao F, Feng J, Yan W, Wei Y.","Emerg Microbes Infect. 2018 Nov 30;7(1):197. doi: 10.1038/s41426-018-0202-2.","Zhu H","Emerg Microbes Infect","2018","2018/12/01","PMC6265257","","10.1038/s41426-018-0202-2"
"31529842","Microbiota according to gastric topography in patients with low or high risk of gastric cancer in Nariño, Colombia","Caguazango JC, Pazos ÁJ.","Biomedica. 2019 Aug 1;39(Supl. 2):157-171. doi: 10.7705/biomedica.v39i4.4520.","Caguazango JC","Biomedica","2019","2019/09/19","","","10.7705/biomedica.v39i4.4520"
"29724187","Effects of intestinal colonization by Clostridium difficile and Staphylococcus aureus on microbiota diversity in healthy individuals in China","Dong D, Ni Q, Wang C, Zhang L, Li Z, Jiang C, EnqiangMao, Peng Y.","BMC Infect Dis. 2018 May 3;18(1):207. doi: 10.1186/s12879-018-3111-z.","Dong D","BMC Infect Dis","2018","2018/05/05","PMC5934869","","10.1186/s12879-018-3111-z"
"31624266","Colonizing multidrug-resistant bacteria and the longitudinal evolution of the intestinal microbiome after liver transplantation","Annavajhala MK, Gomez-Simmonds A, Macesic N, Sullivan SB, Kress A, Khan SD, Giddins MJ, Stump S, Kim GI, Narain R, Verna EC, Uhlemann AC.","Nat Commun. 2019 Oct 17;10(1):4715. doi: 10.1038/s41467-019-12633-4.","Annavajhala MK","Nat Commun","2019","2019/10/19","PMC6797753","","10.1038/s41467-019-12633-4"
"32071312","Gut microbiota mediates intermittent-fasting alleviation of diabetes-induced cognitive impairment","Liu Z, Dai X, Zhang H, Shi R, Hui Y, Jin X, Zhang W, Wang L, Wang Q, Wang D, Wang J, Tan X, Ren B, Liu X, Zhao T, Wang J, Pan J, Yuan T, Chu C, Lan L, Yin F, Cadenas E, Shi L, Zhao S, Liu X.","Nat Commun. 2020 Feb 18;11(1):855. doi: 10.1038/s41467-020-14676-4.","Liu Z","Nat Commun","2020","2020/02/20","PMC7029019","","10.1038/s41467-020-14676-4"
"30232389","Child Weight Gain Trajectories Linked To Oral Microbiota Composition","Craig SJC, Blankenberg D, Parodi ACL, Paul IM, Birch LL, Savage JS, Marini ME, Stokes JL, Nekrutenko A, Reimherr M, Chiaromonte F, Makova KD.","Sci Rep. 2018 Sep 19;8(1):14030. doi: 10.1038/s41598-018-31866-9.","Craig SJC","Sci Rep","2018","2018/09/21","PMC6145887","","10.1038/s41598-018-31866-9"
"28410921","A randomized trial to determine the impact of a digestion resistant starch composition on the gut microbiome in older and mid-age adults","Alfa MJ, Strang D, Tappia PS, Graham M, Van Domselaar G, Forbes JD, Laminman V, Olson N, DeGagne P, Bray D, Murray BL, Dufault B, Lix LM.","Clin Nutr. 2018 Jun;37(3):797-807. doi: 10.1016/j.clnu.2017.03.025. Epub 2017 Mar 31.","Alfa MJ","Clin Nutr","2018","2017/04/16","","","10.1016/j.clnu.2017.03.025"
"29625975","Development of a New Application for Comprehensive Viability Analysis Based on Microbiome Analysis by Next-Generation Sequencing: Insights into Staphylococcal Carriage in Human Nasal Cavities","Lu YJ, Sasaki T, Kuwahara-Arai K, Uehara Y, Hiramatsu K.","Appl Environ Microbiol. 2018 May 17;84(11):e00517-18. doi: 10.1128/AEM.00517-18. Print 2018 Jun 1.","Lu YJ","Appl Environ Microbiol","2018","2018/04/08","PMC5960957","","10.1128/AEM.00517-18"
"30381615","Heterogeneity of Microbial Communities on Deep-Sea Ferromanganese Crusts in the Takuyo-Daigo Seamount","Kato S, Okumura T, Uematsu K, Hirai M, Iijima K, Usui A, Suzuki K.","Microbes Environ. 2018 Dec 28;33(4):366-377. doi: 10.1264/jsme2.ME18090. Epub 2018 Oct 30.","Kato S","Microbes Environ","2018","2018/11/02","PMC6307992","","10.1264/jsme2.ME18090"
"31820070","An exploration of smokeless tobacco product nucleic acids: a combined metagenome and metatranscriptome analysis","Tyx RE, Rivera AJ, Keong LM, Stanfill SB.","Appl Microbiol Biotechnol. 2020 Jan;104(2):751-763. doi: 10.1007/s00253-019-10232-3. Epub 2019 Dec 9.","Tyx RE","Appl Microbiol Biotechnol","2020","2019/12/11","PMC6943401","NIHMS1062973","10.1007/s00253-019-10232-3"
"29877714","Culture-Independent Analysis of Pediatric Bronchoalveolar Lavage Specimens","Zachariah P, Ryan C, Nadimpalli S, Coscia G, Kolb M, Smith H, Foca M, Saiman L, Planet PJ.","Ann Am Thorac Soc. 2018 Sep;15(9):1047-1056. doi: 10.1513/AnnalsATS.201802-146OC.","Zachariah P","Ann Am Thorac Soc","2018","2018/06/08","PMC6322044","","10.1513/AnnalsATS.201802-146OC"
"30645618","Effect of ZFN-edited myostatin loss-of-function mutation on gut microbiota in Meishan pigs","Cui WT, Xiao GJ, Jiang SW, Qian LL, Cai CB, Li B, Xie SS, Gao T, Li K.","PLoS One. 2019 Jan 15;14(1):e0210619. doi: 10.1371/journal.pone.0210619. eCollection 2019.","Cui WT","PLoS One","2019","2019/01/16","PMC6333347","","10.1371/journal.pone.0210619"
"29483910","Respiratory Disease following Viral Lung Infection Alters the Murine Gut Microbiota","Groves HT, Cuthbertson L, James P, Moffatt MF, Cox MJ, Tregoning JS.","Front Immunol. 2018 Feb 12;9:182. doi: 10.3389/fimmu.2018.00182. eCollection 2018.","Groves HT","Front Immunol","2018","2018/02/28","PMC5816042","","10.3389/fimmu.2018.00182"
"32059038","Gut dysbiosis is prevailing in Sjögren's syndrome and is related to dry eye severity","Moon J, Choi SH, Yoon CH, Kim MK.","PLoS One. 2020 Feb 14;15(2):e0229029. doi: 10.1371/journal.pone.0229029. eCollection 2020.","Moon J","PLoS One","2020","2020/02/15","PMC7021297","","10.1371/journal.pone.0229029"
"28776953","Establishment of oral bacterial communities in germ-free mice and the influence of recipient age","Wu YY, Westwater C, Xiao E, Dias Corrêa J, Xiao WM, Graves DT.","Mol Oral Microbiol. 2018 Feb;33(1):38-46. doi: 10.1111/omi.12194. Epub 2017 Sep 18.","Wu YY","Mol Oral Microbiol","2018","2017/08/05","PMC6525632","NIHMS1028408","10.1111/omi.12194"
"31067262","Mammographic breast density and its association with urinary estrogens and the fecal microbiota in postmenopausal women","Jones GS, Spencer Feigelson H, Falk RT, Hua X, Ravel J, Yu G, Flores R, Gail MH, Shi J, Xu X, Goedert JJ.","PLoS One. 2019 May 8;14(5):e0216114. doi: 10.1371/journal.pone.0216114. eCollection 2019.","Jones GS","PLoS One","2019","2019/05/09","PMC6505928","","10.1371/journal.pone.0216114"
"29351278","Analysis of the tonsillar microbiome in young adults with sore throat reveals a high relative abundance of Fusobacterium necrophorum with low diversity","Atkinson TP, Centor RM, Xiao L, Wang F, Cui X, Van Der Pol W, Morrow CD, Ratliff AE, Crabb DM, Totten AH, Estrada CA, Faircloth MB, Waites KB.","PLoS One. 2018 Jan 19;13(1):e0189423. doi: 10.1371/journal.pone.0189423. eCollection 2018.","Atkinson TP","PLoS One","2018","2018/01/20","PMC5774679","","10.1371/journal.pone.0189423"
"29063148","Tide as Steering Factor in Structuring Archaeal and Bacterial Ammonia-Oxidizing Communities in Mangrove Forest Soils Dominated by Avicennia germinans and Rhizophora mangle","Marcos MS, Barboza AD, Keijzer RM, Laanbroek HJ.","Microb Ecol. 2018 May;75(4):997-1008. doi: 10.1007/s00248-017-1091-y. Epub 2017 Oct 23.","Marcos MS","Microb Ecol","2018","2017/10/25","PMC5906487","","10.1007/s00248-017-1091-y"
"30753545","The intestinal environment as an evolutionary adaptation to mouthbrooding in the Astatotilapia burtoni cichlid","Faber-Hammond JJ, Coyle KP, Bacheller SK, Roberts CG, Mellies JL, Roberts RB, Renn SCP.","FEMS Microbiol Ecol. 2019 Mar 1;95(3):fiz016. doi: 10.1093/femsec/fiz016.","Faber-Hammond JJ","FEMS Microbiol Ecol","2019","2019/02/13","PMC7137464","","10.1093/femsec/fiz016"
"29579080","Variation in the microbiome of the urogenital tract of Chlamydia-free female koalas (Phascolarctos cinereus) with and without 'wet bottom'","Legione AR, Amery-Gale J, Lynch M, Haynes L, Gilkerson JR, Sansom FM, Devlin JM.","PLoS One. 2018 Mar 26;13(3):e0194881. doi: 10.1371/journal.pone.0194881. eCollection 2018.","Legione AR","PLoS One","2018","2018/03/27","PMC5868818","","10.1371/journal.pone.0194881"
"30033973","Comparative microbial communities in tidal flats sediment on Incheon, South Korea","Choi HJ, Jeong TY, Yoon H, Oh BY, Han YS, Hur MJ, Kang S, Kim JG.","J Gen Appl Microbiol. 2018 Nov 9;64(5):232-239. doi: 10.2323/jgam.2017.12.007. Epub 2018 Jul 20.","Choi HJ","J Gen Appl Microbiol","2018","2018/07/24","","","10.2323/jgam.2017.12.007"
"30108246","The urinary microbiome associated with bladder cancer","Bučević Popović V, Šitum M, Chow CT, Chan LS, Roje B, Terzić J.","Sci Rep. 2018 Aug 14;8(1):12157. doi: 10.1038/s41598-018-29054-w.","Bučević Popović V","Sci Rep","2018","2018/08/16","PMC6092344","","10.1038/s41598-018-29054-w"
"29747929","Dynamics and diversity of the bacterial community during the spontaneous decay of açai (Euterpe oleracea) fruits","Moura FG, Graças DAD, Santos AV, Silva ALDCD, Rogez H.","Braz J Microbiol. 2018 Nov;49 Suppl 1(Suppl 1):25-33. doi: 10.1016/j.bjm.2018.04.006. Epub 2018 Apr 30.","Moura FG","Braz J Microbiol","2018","2018/05/12","PMC6328721","","10.1016/j.bjm.2018.04.006"
"30350766","16S Metagenomic Comparison of Plasmodium falciparum-Infected and Noninfected Anopheles gambiae and Anopheles funestus Microbiota from Senegal","Bassene H, Niang EHA, Fenollar F, Dipankar B, Doucouré S, Ali E, Michelle C, Raoult D, Sokhna C, Mediannikov O.","Am J Trop Med Hyg. 2018 Dec;99(6):1489-1498. doi: 10.4269/ajtmh.18-0263. Epub 2018 Oct 18.","Bassene H","Am J Trop Med Hyg","2018","2018/10/24","PMC6283497","","10.4269/ajtmh.18-0263"
"30449766","Microbial Diversity in Actively Forming Iron Oxides from Weathered Banded Iron Formation Systems","Gagen EJ, Levett A, Shuster J, Fortin D, Vasconcelos PM, Southam G.","Microbes Environ. 2018 Dec 28;33(4):385-393. doi: 10.1264/jsme2.ME18019. Epub 2018 Nov 16.","Gagen EJ","Microbes Environ","2018","2018/11/20","PMC6307996","","10.1264/jsme2.ME18019"
"30185226","Alteration of the cutaneous microbiome in psoriasis and potential role in Th17 polarization","Chang HW, Yan D, Singh R, Liu J, Lu X, Ucmak D, Lee K, Afifi L, Fadrosh D, Leech J, Vasquez KS, Lowe MM, Rosenblum MD, Scharschmidt TC, Lynch SV, Liao W.","Microbiome. 2018 Sep 5;6(1):154. doi: 10.1186/s40168-018-0533-1.","Chang HW","Microbiome","2018","2018/09/07","PMC6125946","","10.1186/s40168-018-0533-1"
"29740427","Intestinal Microbiota at Engraftment Influence Acute Graft-Versus-Host Disease via the Treg/Th17 Balance in Allo-HSCT Recipients","Han L, Jin H, Zhou L, Zhang X, Fan Z, Dai M, Lin Q, Huang F, Xuan L, Zhang H, Liu Q.","Front Immunol. 2018 Apr 24;9:669. doi: 10.3389/fimmu.2018.00669. eCollection 2018.","Han L","Front Immunol","2018","2018/05/10","PMC5928130","","10.3389/fimmu.2018.00669"
"30263008","Molecular Alteration Analysis of Human Gut Microbial Composition in Graves' disease Patients","Ishaq HM, Mohammad IS, Shahzad M, Ma C, Raza MA, Wu X, Guo H, Shi P, Xu J.","Int J Biol Sci. 2018 Sep 7;14(11):1558-1570. doi: 10.7150/ijbs.24151. eCollection 2018.","Ishaq HM","Int J Biol Sci","2018","2018/09/29","PMC6158725","","10.7150/ijbs.24151"
"31311598","The association between pneumococcal vaccination, ethnicity, and the nasopharyngeal microbiota of children in Fiji","Boelsen LK, Dunne EM, Mika M, Eggers S, Nguyen CD, Ratu FT, Russell FM, Mulholland EK, Hilty M, Satzke C.","Microbiome. 2019 Jul 16;7(1):106. doi: 10.1186/s40168-019-0716-4.","Boelsen LK","Microbiome","2019","2019/07/18","PMC6636143","","10.1186/s40168-019-0716-4"
"29452199","Establishment of the nasal microbiota in the first 18 months of life: Correlation with early-onset rhinitis and wheezing","Ta LDH, Yap GC, Tay CJX, Lim ASM, Huang CH, Chu CW, De Sessions PF, Shek LP, Goh A, Van Bever HPS, Teoh OH, Soh JY, Thomas B, Ramamurthy MB, Goh DYT, Lay C, Soh SE, Chan YH, Saw SM, Kwek K, Chong YS, Godfrey KM, Hibberd ML, Lee BW.","J Allergy Clin Immunol. 2018 Jul;142(1):86-95. doi: 10.1016/j.jaci.2018.01.032. Epub 2018 Feb 13.","Ta LDH","J Allergy Clin Immunol","2018","2018/02/17","PMC5989928","EMS76412","10.1016/j.jaci.2018.01.032"
"30522122","Microbial Intervention as a Novel Target in Treatment of Non-Alcoholic Fatty Liver Disease Progression","Zhou Y, Zheng T, Chen H, Li Y, Huang H, Chen W, Du Y, He J, Li Y, Cao J, Nie Y, Zhou Y.","Cell Physiol Biochem. 2018;51(5):2123-2135. doi: 10.1159/000495830. Epub 2018 Dec 6.","Zhou Y","Cell Physiol Biochem","2018","2018/12/07","","","10.1159/000495830"
"30792016","Synbiotic-driven improvement of metabolic disturbances is associated with changes in the gut microbiome in diet-induced obese mice","Ke X, Walker A, Haange SB, Lagkouvardos I, Liu Y, Schmitt-Kopplin P, von Bergen M, Jehmlich N, He X, Clavel T, Cheung PCK.","Mol Metab. 2019 Apr;22:96-109. doi: 10.1016/j.molmet.2019.01.012. Epub 2019 Feb 5.","Ke X","Mol Metab","2019","2019/02/23","PMC6437638","","10.1016/j.molmet.2019.01.012"
"30024917","Bacterial diversity of bat guano from Cabalyorisa Cave, Mabini, Pangasinan, Philippines: A first report on the metagenome of Philippine bat guano","De Leon MP, Montecillo AD, Pinili DS, Siringan MAT, Park DS.","PLoS One. 2018 Jul 19;13(7):e0200095. doi: 10.1371/journal.pone.0200095. eCollection 2018.","De Leon MP","PLoS One","2018","2018/07/20","PMC6053158","","10.1371/journal.pone.0200095"
"30200669","Lactobacillus acidophilus DDS-1 Modulates the Gut Microbiota and Improves Metabolic Profiles in Aging Mice","Vemuri R, Shinde T, Gundamaraju R, Gondalia SV, Karpe AV, Beale DJ, Martoni CJ, Eri R.","Nutrients. 2018 Sep 6;10(9):1255. doi: 10.3390/nu10091255.","Vemuri R","Nutrients","2018","2018/09/12","PMC6165029","","10.3390/nu10091255"
